,AllCCS ID,Name,smiles,Formula,Adduct,m/z,CCS,Input
1702,AllCCS00001175,Hydrocortisone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,C21H30O5,[M+Cl]-,397.1787,188.9,Hydrocortisone
1703,AllCCS00001176,Canrenone,CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC45CCC(=O)O5)C,C22H28O3,[M+H]+,341.2111,183.0,Canrenone
1704,AllCCS00001177,Finasteride,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,C23H36N2O2,[M+H]+,373.285,200.0,Finasteride
1705,AllCCS00001178,Fenretinide,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)NC2=CC=C(C=C2)O)C)C,C26H33NO2,[M+H]+,392.2584,200.5,Fenretinide
1706,AllCCS00001179,Hydrocortisone valerate,CCCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO,C26H38O6,[M+H]+,447.2741,212.5,Hydrocortisone valerate
1707,AllCCS00001180,Testosterone propionate,CCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,C22H32O3,[M+H]+,345.2424,189.2,Testosterone propionate
1708,AllCCS00001180,Testosterone propionate,CCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,C22H32O3,[M+Na]+,367.2244,215.8,Testosterone propionate
1709,AllCCS00001180,Testosterone propionate,CCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,C22H32O3,[2M+Na]+,711.4596,284.7,Testosterone propionate
1710,AllCCS00001181,Estradiol Valerate,CCCCC(=O)OC1CCC2C1(CCC3C2CCC4=C3C=CC(=C4)O)C,C23H32O3,[M+H]+,357.2424,171.0,Estradiol Valerate
1711,AllCCS00001181,Estradiol Valerate,CCCCC(=O)OC1CCC2C1(CCC3C2CCC4=C3C=CC(=C4)O)C,C23H32O3,[M+Na]+,379.2244,216.0,Estradiol Valerate
1712,AllCCS00001181,Estradiol Valerate,CCCCC(=O)OC1CCC2C1(CCC3C2CCC4=C3C=CC(=C4)O)C,C23H32O3,[2M+Na]+,735.4596,286.3,Estradiol Valerate
1713,AllCCS00001182,Triamcinolone,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,C21H27FO6,[M+H]+,395.1865,188.4,Triamcinolone
1714,AllCCS00001182,Triamcinolone,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,C21H27FO6,[M+Na]+,417.1685,214.8,Triamcinolone
1715,AllCCS00001182,Triamcinolone,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,C21H27FO6,[2M+H]+,789.3656,270.5,Triamcinolone
1716,AllCCS00001182,Triamcinolone,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,C21H27FO6,[2M+Na]+,811.3476,274.1,Triamcinolone
1717,AllCCS00001182,Triamcinolone,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,C21H27FO6,[M-HF+H]+,375.1803,185.1,Triamcinolone
1718,AllCCS00001182,Triamcinolone,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,C21H27FO6,[M-HF-H2O+H]+,357.1697,180.1,Triamcinolone
1719,AllCCS00001183,Triamcinolone Acetonide,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,C24H31FO6,[M+H]+,435.2178,198.6,Triamcinolone Acetonide
1720,AllCCS00001183,Triamcinolone Acetonide,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,C24H31FO6,[M+Na]+,457.1998,224.7,Triamcinolone Acetonide
1721,AllCCS00001183,Triamcinolone Acetonide,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,C24H31FO6,[2M+H]+,869.4282,300.6,Triamcinolone Acetonide
1722,AllCCS00001183,Triamcinolone Acetonide,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,C24H31FO6,[2M+Na]+,891.4102,297.0,Triamcinolone Acetonide
1723,AllCCS00001183,Triamcinolone Acetonide,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,C24H31FO6,[M-HF+H]+,415.2116,195.4,Triamcinolone Acetonide
1724,AllCCS00001183,Triamcinolone Acetonide,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C,C24H31FO6,[M-HF-H2O+H]+,397.201,189.3,Triamcinolone Acetonide
1725,AllCCS00001184,Fludrocortisone,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F,C21H29FO5,[M+H]+,381.2072,188.4,Fludrocortisone
1726,AllCCS00001184,Fludrocortisone,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F,C21H29FO5,[M+Na]+,403.1892,212.8,Fludrocortisone
1727,AllCCS00001184,Fludrocortisone,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F,C21H29FO5,[2M+H]+,761.4071,268.7,Fludrocortisone
1728,AllCCS00001184,Fludrocortisone,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F,C21H29FO5,[2M+Na]+,783.3891,270.5,Fludrocortisone
1729,AllCCS00001185,Fluocinolone acetonide,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C,C24H30F2O6,[M+H]+,453.2083,200.6,Fluocinolone acetonide
1730,AllCCS00001185,Fluocinolone acetonide,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C,C24H30F2O6,[M+Na]+,475.1903,226.7,Fluocinolone acetonide
1731,AllCCS00001185,Fluocinolone acetonide,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C,C24H30F2O6,[2M+H]+,905.4094,304.9,Fluocinolone acetonide
1732,AllCCS00001185,Fluocinolone acetonide,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C,C24H30F2O6,[2M+Na]+,927.3914,305.6,Fluocinolone acetonide
1733,AllCCS00001185,Fluocinolone acetonide,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C,C24H30F2O6,[M-HF+H]+,433.2021,196.8,Fluocinolone acetonide
1734,AllCCS00001186,Fluocinonide,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C,C26H32F2O7,[M+Na]+,517.2009,237.7,Fluocinonide
1735,AllCCS00001186,Fluocinonide,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C,C26H32F2O7,[2M+H]+,989.4305,325.4,Fluocinonide
1736,AllCCS00001186,Fluocinonide,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C,C26H32F2O7,[2M+Na]+,1011.4125,315.2,Fluocinonide
1737,AllCCS00001186,Fluocinonide,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C,C26H32F2O7,[M-HF+H]+,475.2127,207.3,Fluocinonide
1738,AllCCS00001187,Prednisolone Acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O,C23H30O6,[M+H]+,403.2115,196.0,Prednisolone Acetate
1739,AllCCS00001187,Prednisolone Acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O,C23H30O6,[M-H2O+H]+,385.2009,194.2,Prednisolone Acetate
1740,AllCCS00001187,Prednisolone Acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O,C23H30O6,[M+H-2H2O]+,367.1903,187.6,Prednisolone Acetate
1741,AllCCS00001187,Prednisolone Acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O,C23H30O6,[M+Na]+,425.1935,220.5,Prednisolone Acetate
1742,AllCCS00001187,Prednisolone Acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O,C23H30O6,[2M+H]+,805.4158,299.7,Prednisolone Acetate
1743,AllCCS00001187,Prednisolone Acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O,C23H30O6,[2M+Na]+,827.3978,285.9,Prednisolone Acetate
1744,AllCCS00001187,Prednisolone Acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O,C23H30O6,[M-CH3COOH-H2O+H]+,325.1799,178.7,Prednisolone Acetate
1745,AllCCS00001188,Prednisone,CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C,C21H26O5,[M+H]+,359.1853,181.8,Prednisone
1746,AllCCS00001189,Cortisone acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C)O,C23H30O6,[M+H]+,403.2115,196.5,Cortisone acetate
1747,AllCCS00001190,Cyproterone acetate,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)OC(=O)C,C24H29ClO4,[M+H]+,417.1827,199.4,Cyproterone acetate
1748,AllCCS00001191,Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,C22H29FO5,[M+H]+,393.2072,189.8,Dexamethasone
1749,AllCCS00001191,Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,C22H29FO5,[M+Na]+,415.1892,215.8,Dexamethasone
1750,AllCCS00001191,Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,C22H29FO5,[2M+H]+,785.4071,280.9,Dexamethasone
1751,AllCCS00001191,Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,C22H29FO5,[2M+Na]+,807.3891,273.8,Dexamethasone
1752,AllCCS00001191,Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,C22H29FO5,[M-HF+H]+,373.201,186.4,Dexamethasone
1753,AllCCS00001191,Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,C22H29FO5,[M-HF-H2O+H]+,355.1904,182.1,Dexamethasone
1754,AllCCS00001192,Hydrocortisone acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,C23H32O6,[M+H]+,405.2272,198.5,Hydrocortisone acetate
1755,AllCCS00001192,Hydrocortisone acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,C23H32O6,[M+Na]+,427.2092,202.7,Hydrocortisone acetate
1756,AllCCS00001192,Hydrocortisone acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,C23H32O6,[M+K]+,443.1831,206.8,Hydrocortisone acetate
1757,AllCCS00001192,Hydrocortisone acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,C23H32O6,[2M+H]+,809.4471,294.9,Hydrocortisone acetate
1758,AllCCS00001192,Hydrocortisone acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,C23H32O6,[2M+Na]+,831.4291,287.8,Hydrocortisone acetate
1759,AllCCS00001192,Hydrocortisone acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,C23H32O6,[M-H]-,403.2126,196.6,Hydrocortisone acetate
1760,AllCCS00001192,Hydrocortisone acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,C23H32O6,[M-CH3COOH-H2O+H]+,327.1955,179.8,Hydrocortisone acetate
1761,AllCCS00001193,Dexamethasone Sodium Phosphate,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)(O)O)O)C)O)F)C,C22H30FO8P,[M+H]+,473.1735,202.4,Dexamethasone Sodium Phosphate
1762,AllCCS00001193,Dexamethasone Sodium Phosphate,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)(O)O)O)C)O)F)C,C22H30FO8P,[M+Na]+,495.1555,212.5,Dexamethasone Sodium Phosphate
1763,AllCCS00001193,Dexamethasone Sodium Phosphate,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)(O)O)O)C)O)F)C,C22H30FO8P,[2M+H]+,945.3398,285.6,Dexamethasone Sodium Phosphate
1764,AllCCS00001193,Dexamethasone Sodium Phosphate,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)(O)O)O)C)O)F)C,C22H30FO8P,[M-HF+H]+,453.1673,201.9,Dexamethasone Sodium Phosphate
1765,AllCCS00001193,Dexamethasone Sodium Phosphate,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)(O)O)O)C)O)F)C,C22H30FO8P,[M-HF-H2O+H]+,435.1568,196.5,Dexamethasone Sodium Phosphate
1766,AllCCS00001194,Hydrocortisone succinate,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)O)O)C)O,C25H34O8,[M+H]+,463.2327,214.3,Hydrocortisone succinate
1767,AllCCS00001194,Hydrocortisone succinate,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)O)O)C)O,C25H34O8,[M-H2O+H]+,445.2221,194.7,Hydrocortisone succinate
1768,AllCCS00001194,Hydrocortisone succinate,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)O)O)C)O,C25H34O8,[M+H-2H2O]+,427.2115,196.0,Hydrocortisone succinate
1769,AllCCS00001194,Hydrocortisone succinate,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)O)O)C)O,C25H34O8,[M+Na]+,485.2147,212.1,Hydrocortisone succinate
1770,AllCCS00001194,Hydrocortisone succinate,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)O)O)C)O,C25H34O8,[2M+H]+,925.458,297.6,Hydrocortisone succinate
1771,AllCCS00001194,Hydrocortisone succinate,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)O)O)C)O,C25H34O8,[2M+Na]+,947.44,291.9,Hydrocortisone succinate
1772,AllCCS00001195,Ouabain,CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,C29H44O12,[M+H]+,585.2906,234.0,Ouabain
1773,AllCCS00001196,Budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,C25H34O6,[M+H]+,431.2428,205.9,Budesonide
1774,AllCCS00001196,Budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,C25H34O6,[M-H2O+H]+,413.2322,203.0,Budesonide
1775,AllCCS00001196,Budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,C25H34O6,[M+Na]+,453.2248,231.7,Budesonide
1776,AllCCS00001196,Budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,C25H34O6,[2M+Na]+,883.4604,316.2,Budesonide
1777,AllCCS00001197,Medroxyprogesterone acetate,CC1CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,C24H34O4,[M+H]+,387.253,199.1,Medroxyprogesterone acetate
1778,AllCCS00001197,Medroxyprogesterone acetate,CC1CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,C24H34O4,[M+Na]+,409.235,214.0,Medroxyprogesterone acetate
1779,AllCCS00001198,Canrenoic acid,CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC4(CCC(=O)O)O)C,C22H30O4,[M+H]+,359.2217,187.8,Canrenoic acid
1780,AllCCS00001199,Dehydrocholic acid,CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C,C24H34O5,[M+Na]+,425.2299,192.1,Dehydrocholic acid
1781,AllCCS00001200,Norethindrone Acetate,CC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C#C,C22H28O3,[M+H]+,341.2111,187.0,Norethindrone Acetate
1782,AllCCS00001200,Norethindrone Acetate,CC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C#C,C22H28O3,[M+Na]+,363.1931,212.0,Norethindrone Acetate
1783,AllCCS00001200,Norethindrone Acetate,CC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C#C,C22H28O3,[M-CH3COOH+H]+,281.19,170.2,Norethindrone Acetate
1784,AllCCS00001201,Lactitol,C(C1C(C(C(C(O1)OC(C(CO)O)C(C(CO)O)O)O)O)O)O,C12H24O11,[M+Na]+,367.1212,173.1,Lactitol
1785,AllCCS00001202,Prednisolone hemisuccinate,CC12CC(C3C(C1CCC2(C(=O)COC(=O)CCC(=O)O)O)CCC4=CC(=O)C=CC34C)O,C25H32O8,[M+H]+,461.217,212.7,Prednisolone hemisuccinate
1786,AllCCS00001202,Prednisolone hemisuccinate,CC12CC(C3C(C1CCC2(C(=O)COC(=O)CCC(=O)O)O)CCC4=CC(=O)C=CC34C)O,C25H32O8,[M-H2O+H]+,443.2064,207.6,Prednisolone hemisuccinate
1787,AllCCS00001202,Prednisolone hemisuccinate,CC12CC(C3C(C1CCC2(C(=O)COC(=O)CCC(=O)O)O)CCC4=CC(=O)C=CC34C)O,C25H32O8,[M+H-2H2O]+,425.1958,198.1,Prednisolone hemisuccinate
1788,AllCCS00001202,Prednisolone hemisuccinate,CC12CC(C3C(C1CCC2(C(=O)COC(=O)CCC(=O)O)O)CCC4=CC(=O)C=CC34C)O,C25H32O8,[M+Na]+,483.199,214.2,Prednisolone hemisuccinate
1789,AllCCS00001202,Prednisolone hemisuccinate,CC12CC(C3C(C1CCC2(C(=O)COC(=O)CCC(=O)O)O)CCC4=CC(=O)C=CC34C)O,C25H32O8,[2M+H]+,921.4267,296.5,Prednisolone hemisuccinate
1790,AllCCS00001203,Exemestane,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,C20H24O2,[M+H]+,297.1849,171.1,Exemestane
1791,AllCCS00001204,Norgestimate,CCC12CCC3C(C1CCC2(C#C)OC(=O)C)CCC4=CC(=NO)CCC34,C23H31NO3,[M+H]+,370.2377,197.6,Norgestimate
1792,AllCCS00001205,Colforsin,CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O,C22H34O7,[M+Na]+,433.2198,191.9,Colforsin
1793,AllCCS00001206,Amcinonide,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6,C28H35FO7,[M+H]+,503.244,216.0,Amcinonide
1794,AllCCS00001206,Amcinonide,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6,C28H35FO7,[M+Na]+,525.226,241.6,Amcinonide
1795,AllCCS00001206,Amcinonide,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6,C28H35FO7,[M-HF+H]+,483.2378,214.0,Amcinonide
1796,AllCCS00001207,Paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,C47H51NO14,[M+H]+,854.3383,278.9,Paclitaxel
1797,AllCCS00001208,Clobetasol propionate,CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CCl,C25H32ClFO5,[M+H]+,467.1995,207.1,Clobetasol propionate
1798,AllCCS00001208,Clobetasol propionate,CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CCl,C25H32ClFO5,[M+Na]+,489.1815,227.5,Clobetasol propionate
1799,AllCCS00001208,Clobetasol propionate,CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CCl,C25H32ClFO5,[2M+H]+,933.3918,316.9,Clobetasol propionate
1800,AllCCS00001208,Clobetasol propionate,CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CCl,C25H32ClFO5,[2M+Na]+,955.3738,307.8,Clobetasol propionate
1801,AllCCS00001208,Clobetasol propionate,CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CCl,C25H32ClFO5,[M-HF+H]+,447.1933,204.2,Clobetasol propionate
1802,AllCCS00001209,Altrenogest,CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2(CC=C)O,C21H26O2,[M+H]+,311.2006,177.0,Altrenogest
1803,AllCCS00001210,Malathion,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,C10H19O6PS2,[M+H]+,331.0434,165.7,Malathion
1804,AllCCS00001210,Malathion,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,C10H19O6PS2,[M+Na]+,353.0254,171.8,Malathion
1805,AllCCS00001210,Malathion,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,C10H19O6PS2,[M-H]-,329.0288,170.3,Malathion
1806,AllCCS00001211,Halcinonide,CC1(OC2CC3C4CCC5=CC(=O)CCC5(C4(C(CC3(C2(O1)C(=O)CCl)C)O)F)C)C,C24H32ClFO5,[M+H]+,455.1995,202.0,Halcinonide
1807,AllCCS00001211,Halcinonide,CC1(OC2CC3C4CCC5=CC(=O)CCC5(C4(C(CC3(C2(O1)C(=O)CCl)C)O)F)C)C,C24H32ClFO5,[M+Na]+,477.1815,229.8,Halcinonide
1808,AllCCS00001211,Halcinonide,CC1(OC2CC3C4CCC5=CC(=O)CCC5(C4(C(CC3(C2(O1)C(=O)CCl)C)O)F)C)C,C24H32ClFO5,[2M+H]+,909.3918,311.3,Halcinonide
1809,AllCCS00001211,Halcinonide,CC1(OC2CC3C4CCC5=CC(=O)CCC5(C4(C(CC3(C2(O1)C(=O)CCl)C)O)F)C)C,C24H32ClFO5,[2M+Na]+,931.3738,297.2,Halcinonide
1810,AllCCS00001212,Desoximetasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C,C22H29FO4,[M+H]+,377.2123,187.7,Desoximetasone
1811,AllCCS00001212,Desoximetasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C,C22H29FO4,[M+Na]+,399.1943,213.3,Desoximetasone
1812,AllCCS00001212,Desoximetasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C,C22H29FO4,[2M+Na]+,775.3993,292.2,Desoximetasone
1813,AllCCS00001212,Desoximetasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C,C22H29FO4,[M-HF+H]+,357.2061,184.5,Desoximetasone
1814,AllCCS00001212,Desoximetasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C,C22H29FO4,[M-HF-H2O+H]+,339.1955,179.5,Desoximetasone
1815,AllCCS00001213,Isoflupredone acetate,CC(=O)OCC(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)O,C23H29FO6,[M+H]+,421.2021,194.7,Isoflupredone acetate
1816,AllCCS00001214,Acexamic Acid,CC(=O)NCCCCCC(=O)O,C8H15NO3,[M+Na]+,196.0945,141.4,Acexamic Acid
1817,AllCCS00001215,Desonide,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)C,C24H32O6,[M+H]+,417.2272,199.7,Desonide
1818,AllCCS00001215,Desonide,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)C,C24H32O6,[M-H2O+H]+,399.2166,196.5,Desonide
1819,AllCCS00001215,Desonide,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)C,C24H32O6,[M+Na]+,439.2092,225.3,Desonide
1820,AllCCS00001215,Desonide,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)C,C24H32O6,[2M+Na]+,855.4291,318.4,Desonide
1821,AllCCS00001216,Dihydrojasmonic Acid,CCCCCC1C(CCC1=O)CC(=O)O,C12H20O3,[M+H]+,213.1485,147.0,Dihydrojasmonic Acid
1822,AllCCS00001217,Cypermethrin,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,C22H19Cl2NO3,[M+Na]+,438.0635,200.6,Cypermethrin
1823,AllCCS00001218,Moxisylyte,CC1=CC(=C(C=C1OC(=O)C)C(C)C)OCCN(C)C,C16H25NO3,[M+H]+,280.1907,166.3,Moxisylyte
1824,AllCCS00001219,Celastrol,CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C)O,C29H38O4,[M+H]+,451.2843,205.6,Celastrol
1825,AllCCS00001220,Phylloquinone,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,C31H46O2,[M+H]+,451.3571,220.0,Phylloquinone
